date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:31	75/75	---M--	200	added ('OK')	text/plain	etag:%2223a0001-4b-555c02e9%22	http://www.crebugs.com/robots.txt		(from )
16:15:31	105693/105693	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202016%2007:15:19%20GMT	http://www.crebugs.com/member/join.php	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/member/join.html	(from )
16:15:33	89428/89428	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202016%2002:11:47%20GMT	http://www.crebugs.com/css/style.css	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/css/style.css	(from http://www.crebugs.com/member/join.php)
16:15:33	85836/85836	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202015%2013:04:09%20GMT	http://www.crebugs.com/css/s_edit.css	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/css/s_edit.css	(from http://www.crebugs.com/member/join.php)
16:15:33	1066/1066	---M--	200	added ('OK')	text/css	etag:%22b78003-42a-55e9972e%22	http://www.crebugs.com/outdatedbrowser/outdatedbrowser.min.css	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/outdatedbrowser/outdatedbrowser.min.css	(from http://www.crebugs.com/member/join.php)
16:15:34	7465/7465	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20May%202016%2005:57:32%20GMT	http://www.crebugs.com/js/global.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/js/global.js	(from http://www.crebugs.com/member/join.php)
16:15:34	6754/6754	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Jul%202016%2007:51:39%20GMT	http://www.crebugs.com/js/member.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/js/member.js	(from http://www.crebugs.com/member/join.php)
16:15:34	2230/2230	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2021%20Jan%202016%2015:12:09%20GMT	http://www.crebugs.com/js/menu.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/js/menu.js	(from http://www.crebugs.com/member/join.php)
16:15:34	21419/21419	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2030%20Sep%202015%2002:49:46%20GMT	http://www.crebugs.com/js/shop.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/js/shop.js	(from http://www.crebugs.com/member/join.php)
16:15:35	4266/4266	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202015%2013:05:03%20GMT	http://www.crebugs.com/js/placeholders.min.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/js/placeholders.min.js	(from http://www.crebugs.com/member/join.php)
16:15:36	16192/16192	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2027%20Jun%202016%2008:26:59%20GMT	http://wcs.naver.net/wcslog.js	C:/Users/sm202/Desktop/02_/02_/wcs.naver.net/wcslog.js	(from http://www.crebugs.com/member/join.php)
16:15:38	17817/17817	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202015%2018:44:35%20GMT	http://ajax.googleapis.com/ajax/libs/webfont/1.4.10/webfont.js	C:/Users/sm202/Desktop/02_/02_/ajax.googleapis.com/ajax/libs/webfont/1.4.10/webfont.js	(from http://www.crebugs.com/member/join.php)
16:15:38	8401/8401	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fd2d535ad6e2b39f4c842cd866b44152%22	https://connect.facebook.net/en_US/fbevents.js	C:/Users/sm202/Desktop/02_/02_/connect.facebook.net/en_US/fbevents.js	(from http://www.crebugs.com/member/join.php)
16:15:40	27580/27580	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/sm202/Desktop/02_/02_/www.google-analytics.com/analytics.js	(from http://www.crebugs.com/member/join.php)
16:15:41	3890/3890	---M--	200	added ('OK')	image/png	etag:%22b78201-f32-55e996e6%22	http://www.crebugs.com/images/layout/logo_crebugs.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/logo_crebugs.png	(from http://www.crebugs.com/member/join.php)
16:15:43	247597/247597	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Sep%202015%2003:34:16%20GMT	http://www.crebugs.com/js/jquery.js	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/js/jquery.js	(from http://www.crebugs.com/member/join.php)
16:15:43	28891/28891	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202016%2007:15:30%20GMT	http://www.crebugs.com/member/login.php?PHPSESSID=185dbf63c0becc7ce2f7936c9f78e021	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/member/login5f95.html	(from http://www.crebugs.com/member/join.php)
16:15:44	208/208	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Aug%202016%2007:15:33%20GMT	http://www.crebugs.com/member/bg2.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/member/bg2.png	(from http://www.crebugs.com/member/join.php)
16:15:45	100543/100543	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202016%2007:15:32%20GMT	http://www.crebugs.com/member/join.php?PHPSESSID=185dbf63c0becc7ce2f7936c9f78e021	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/member/join5f95.html	(from http://www.crebugs.com/member/join.php)
16:15:45	1352/1352	---M--	200	added ('OK')	image/png	etag:%22b781e6-548-55e996e5%22	http://www.crebugs.com/images/layout/headphone.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/headphone.png	(from http://www.crebugs.com/member/join.php)
16:15:46	5732/5732	---M--	200	added ('OK')	image/png	etag:%22b781c0-1664-55e996e3%22	http://www.crebugs.com/images/layout/catogory_request_tit.png	C:/Users/sm202/Desktop/02_/02_/www.crebugs.com/images/layout/catogory_request_tit.png	(from http://www.crebugs.com/member/join.php)
